List1,List2,List3,List4,List5,List6,List7,List8
-47603.52838449707,29530.538736351828,1.3482808837890623,0.009566116554354378,0.0018046005700471804,-0.0018023623975939509,0.007080817607791989,13.48618402281089
-47617.2347912392,29548.85058176766,-80.68071569824218,0.006994413584392904,0.0018206025432963295,0.0030802497826726734,0.003995227095350987,14.312008236493165
-47623.52113713115,29548.119367910127,-166.97684891764328,0.0004331308655112112,0.0008315718501448738,0.005905940953129626,0.0013658813098955712,15.354033347989514
-47624.65336111486,29544.781315514745,-249.5462784423828,0.005883386444207439,0.0010118873347141134,0.004764304906500634,0.0020390812366648265,17.299555796925173
-47623.768207021356,29532.225685922305,-330.2880700276692,0.00703477048402767,0.000722183199938207,0.00407195867557489,0.0003865042984732739,18.367969094541056
-47621.11174557428,29529.69386455973,-400.0859146728515,0.004891824311453982,0.0007176912071209132,0.0064852319633676185,0.0008514127627558762,19.99538772013206
-47618.2047277987,29517.796542193097,-458.3532856852214,0.004436077618498238,0.000477340633128328,0.002011988086238623,0.002138657933305999,22.95903592287615
-47614.04769833456,29512.12647121638,-506.6761616617839,0.004102270050098054,0.00042790549368682977,0.0008296152441772755,0.0015473439018345596,23.256945789744172
-47611.400738872486,29499.6266672649,-544.1464700927735,0.0039065566872928574,0.0003958535942303185,0.0020335770031686003,0.0015271565136878945,25.25467543575884
-47600.44100790471,29493.72860493034,-581.5294465738933,0.0037700643236997906,0.00038257779149039633,0.003536117576154826,0.0010289794313724314,26.50685448849382
-47598.65895378828,29487.727886888486,-604.911319539388,0.002903271797448931,0.0003134853831461222,0.0024752931216717212,0.001340433080536658,28.359527855714774
-47590.94443780839,29478.190943610967,-630.4072309977214,0.003074798721343564,0.00029798616398840795,0.002465391594406286,0.0006921810180611863,28.210411403325693
-47589.03214373976,29474.44925725887,-646.604307820638,0.0027312581029763586,0.0002600672356389906,0.002552340651683827,0.0009553080259448759,29.801815392634026
-47588.29380638033,29466.365167977216,-660.2198758544922,0.002747867722233545,0.000263326094654938,0.0038636161702527783,0.0005532638447737302,34.280274502382284
-47568.12018823872,29456.169126460154,-673.1764635823569,0.0024444737500575785,0.00023601094911443544,0.00361474948600695,0.0004023748740417542,32.21298856561467
-47571.21057073275,29454.505935113233,-680.3841995849609,0.00274080344770522,0.0002637671443670313,0.00426362847791787,0.0005140332704580357,32.16269174566372
-47559.701972462135,29448.492545770903,-679.0809561767578,0.0022904521177568807,0.0002179365035608412,0.002310183707163853,0.00043056479880843767,34.92499431399918
-47557.43413255592,29446.524573602874,-687.2312528076172,0.0019236811695928194,0.00019852108787155617,0.0029479690218779274,0.00032667768233867595,39.11483073827221
-47553.22409643958,29441.057454645535,-692.6591389567058,0.002003437836061395,0.00019931550644241712,0.0032286911753832076,0.00030725824008155834,38.870487806550784
-47544.08618088504,29442.48264031907,-699.6448388264974,0.0017391659432639335,0.00016933508276046117,0.003053389296479899,0.00032354719933581016,39.684847881104965
